table_name,field_name,field_value,language,translation
stops,stop_name,福島,ja-Hrkt,ふくじま
stops,stop_name,福島,en,Fukijima
stops,stop_name,福島公民館,ja-Hrkt,ふくじまこうみんかん
stops,stop_name,福島公民館,en,Fukujima Kominkan(Fukujima Public Hall)
stops,stop_name,福島橋,ja-Hrkt,ふくじまばし
stops,stop_name,福島橋,en,Fukujimabashi
stops,stop_name,玉村大橋北,ja-Hrkt,たまむらおおはしきた
stops,stop_name,玉村大橋北,en,Tamamuraoohashi kita
stops,stop_name,上福島,ja-Hrkt,かみふくしま
stops,stop_name,上福島,en,Kami Fukushima
stops,stop_name,森下,ja-Hrkt,もりした
stops,stop_name,森下,en,Morishita
stops,stop_name,岡本医院前,ja-Hrkt,おかもといいんまえ
stops,stop_name,岡本医院前,en,Okamoto iin mae(Okamoto Clinic)
stops,stop_name,西上の宮,ja-Hrkt,にしかみのみや
stops,stop_name,西上の宮,en,Nishi Kaminomiya
stops,stop_name,上の宮,ja-Hrkt,かみのみや
stops,stop_name,上の宮,en,Kaminomiya
stops,stop_name,東上の宮,ja-Hrkt,ひがしかみのみや
stops,stop_name,東上の宮,en,Higashi Kaminomiya
stops,stop_name,田中神社,ja-Hrkt,たなかじんじゃ
stops,stop_name,田中神社,en,Tanaka Jinja(Tanaka Shrine)
stops,stop_name,連取十字路西,ja-Hrkt,つなとりじゅうじろにし
stops,stop_name,連取十字路西,en,Tsunatori Jujiro nishi(West of Tsunatori Crossroads)
stops,stop_name,連取,ja-Hrkt,つなとり
stops,stop_name,連取,en,Tsunatori
stops,stop_name,宮郷第二小西,ja-Hrkt,みやごうだいにしょうにし
stops,stop_name,宮郷第二小西,en,Miyagodai2sho nishi(Miyago No.2 P.S.)
stops,stop_name,連取町南,ja-Hrkt,つなとりまちみなみ
stops,stop_name,連取町南,en,Tsunatori-machi minami(South of Tsunatori-machi)
stops,stop_name,若葉町,ja-Hrkt,わかばちょう
stops,stop_name,若葉町,en,Wakaba-cho
stops,stop_name,伊勢崎郵便局前,ja-Hrkt,いせさきゆうびんきょくまえ
stops,stop_name,伊勢崎郵便局前,en,Isesaki yuubinkyoku mae(Isesaki Post office)
stops,stop_name,本町二番,ja-Hrkt,ほんまちにばん
stops,stop_name,本町二番,en,Hon-machi 2ban
stops,stop_name,信用金庫前,ja-Hrkt,しんようきんこまえ
stops,stop_name,信用金庫前,en,Shinyou kinko mae
stops,stop_name,伊勢崎駅前,ja-Hrkt,いせさきえきまえ
stops,stop_name,伊勢崎駅前,en,Isesaki Sta.
stops,stop_name,伊勢崎郵便局前三光町経由,ja-Hrkt,いせさきゆうびんきょくまえ
stops,stop_name,伊勢崎郵便局前三光町経由,en,Isesaki yuubinkyoku sanko-cho keiyu(Isesaki Post office(via sankou-cho))
stops,stop_name,三光町,ja-Hrkt,さんこうちょう
stops,stop_name,三光町,en,sanko-cho
stops,stop_name,永久橋西,ja-Hrkt,えいきゅうばしにし
stops,stop_name,永久橋西,en,Eikyuubashi nishi
stops,stop_name,連取元町,ja-Hrkt,つなとりもとまち
stops,stop_name,連取元町,en,Tsunatorimoto-machi
stops,stop_name,坂下,ja-Hrkt,さかした
stops,stop_name,坂下,en,Sakashita
stops,stop_name,中央前橋駅前,ja-Hrkt,ちゅうおうまえばしえきまえ
stops,stop_name,中央前橋駅前,en,Chuo maebashieki mae(Chuo maebashi Sta.)
stops,stop_name,立川町通り東,ja-Hrkt,たてかわちょうとおりひがし
stops,stop_name,立川町通り東,en,Tatekawa-cho toori higashi(East of Tatekawa-cho road)
stops,stop_name,立川町通り西,ja-Hrkt,たてかわちょうとおりにし
stops,stop_name,立川町通り西,en,Tatekawa-cho toori nishi(West of Tatekawa-cho road)
stops,stop_name,遊園地坂下,ja-Hrkt,ゆうえんちさかした
stops,stop_name,遊園地坂下,en,yuuenchi sakashita
stops,stop_name,公社ビル入口,ja-Hrkt,こうしゃびるいりぐち
stops,stop_name,公社ビル入口,en,Kousha biru Iriguti(Near Kousha Building)
stops,stop_name,大渡温水プール前,ja-Hrkt,おおわたりおんすいぷーるまえ
stops,stop_name,大渡温水プール前,en,Owatari onsuipuuru(Owatari Heated pool)
stops,stop_name,元総社二丁目,ja-Hrkt,もとそうじゃにちょうめ
stops,stop_name,元総社二丁目,en,Motosouja 2chome
