route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id
伊勢崎　女子大線_A,平日,平日_16時50分_系統1321,県立女子大学（伊勢崎市民病院北・上の宮 経由）,,,0,1321
前橋高崎線_A,平日,平日_16時55分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
スマーク線_A,平日,平日_17時15分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
高崎　女子大線_A,平日,平日_17時15分_系統121,県立女子大学（上滝・玉村 経由）,,,0,121
新前橋駅西口線_B,平日,平日_17時20分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
前橋高崎線_A,平日,平日_17時20分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
新前橋駅西口線_B,平日,平日_17時30分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
前橋高崎線_A,平日,平日_17時45分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
スマーク線_A,平日,平日_17時45分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
高崎市循環バス　ぐるりん　群馬の森線_A,平日,平日_17時55分_系統20211,高崎駅東口（健大・元島名コース下り 経由）,,,1,20211
前橋高崎線_A,平日,平日_18時05分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
伊勢崎　女子大線_A,平日,平日_18時05分_系統1322,伊勢崎駅前（伊勢崎市民病院北 経由）,,,1,1322
高崎市循環バス　ぐるりん　京ヶ島線_A,平日,平日_18時10分_系統20111,高崎駅東口（高女・中央中等コース下り 経由）,,,1,20111
スマーク線_A,平日,平日_18時15分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
高崎市循環バス　ぐるりん　群馬の森線_B,平日,平日_18時15分_系統20212,高崎駅東口（中居団地・群馬の森コース下り 経由）,,,0,20212
高崎　女子大線_A,平日,平日_18時20分_系統122,高崎駅前（上滝 経由）,,,1,122
前橋高崎線_A,平日,平日_18時30分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
新前橋駅西口線_B,平日,平日_18時30分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
高崎市循環バス　ぐるりん　京ヶ島線_B,平日,平日_18時30分_系統20112,高崎駅東口（上大類・ 京目コース下り 経由）,,,0,20112
新前橋駅西口線_B,平日,平日_18時35分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
スマーク線_A,平日,平日_18時50分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
前橋高崎線_A,平日,平日_19時00分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
前橋高崎線_A,平日,平日_19時00分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
スマーク線_A,平日,平日_19時10分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
高崎市循環バス　ぐるりん　群馬の森線_A,平日,平日_19時25分_系統20222,中島団地入口（健大・元島名コース 経由）,,,0,20222
新前橋駅西口線_B,平日,平日_19時25分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
スマーク線_A,平日,平日_19時30分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
高崎　女子大線_A,平日,平日_19時30分_系統121,県立女子大学（上滝・玉村 経由）,,,0,121
高崎市循環バス　ぐるりん　京ヶ島線_A,平日,平日_19時35分_系統20131,上京目公民館前（高女・中央中等コース下り 経由）,,,0,20131
前橋高崎線_A,平日,平日_19時45分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
高崎市循環バス　ぐるりん　群馬の森線_B,平日,平日_19時45分_系統20232,島野町南（中居団地・群馬の森コース下り 経由）,,,0,20232
高崎市循環バス　ぐるりん　京ヶ島線_B,平日,平日_19時55分_系統20122,大沢町（上大類・京目コース下り 経由）,,,0,20122
前橋高崎線_A,平日,平日_20時00分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
スマーク線_A,平日,平日_20時10分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
スマーク線_A,平日,平日_20時30分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
前橋高崎線_A,平日,平日_20時50分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
新前橋駅西口線_B,土日祝,土日祝_06時35分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
前橋高崎線_A,土日祝,土日祝_07時00分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
新前橋駅西口線_B,土日祝,土日祝_07時05分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
前橋高崎線_A,土日祝,土日祝_07時15分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
新前橋駅西口線_B,土日祝,土日祝_07時50分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
高崎市循環バス　ぐるりん　群馬の森線_A,土日祝,土日祝_07時55分_系統20231,高崎駅東口（健大・元島名コース下り 経由）,,,1,20231
前橋高崎線_A,土日祝,土日祝_08時00分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
前橋高崎線_A,土日祝,土日祝_08時10分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
高崎市循環バス　ぐるりん　京ヶ島線_A,土日祝,土日祝_08時16分_系統20121,高崎駅東口,,,1,20121
新前橋駅西口線_B,土日祝,土日祝_08時35分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
高崎市循環バス　ぐるりん　群馬の森線_B,土日祝,土日祝_08時41分_系統20221,高崎駅東口（健大・元島名コース上り 経由）,,,1,20221
高崎市循環バス　ぐるりん　京ヶ島線_B,土日祝,土日祝_08時42分_系統20132,高崎駅東口（高女・中央中等コース上り 経由）,,,1,20132
高崎　女子大線_A,土日祝,土日祝_08時45分_系統122,高崎駅前（上滝 経由）,,,1,122
スマーク線_A,土日祝,土日祝_08時55分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
前橋高崎線_A,土日祝,土日祝_09時00分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
スマーク線_A,土日祝,土日祝_09時15分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
前橋高崎線_A,土日祝,土日祝_09時20分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
高崎市循環バス　ぐるりん　群馬の森線_A,土日祝,土日祝_09時30分_系統20211,高崎駅東口（健大・元島名コース下り 経由）,,,1,20211
高崎市循環バス　ぐるりん　京ヶ島線_A,土日祝,土日祝_09時35分_系統20111,高崎駅東口（高女・中央中等コース下り 経由）,,,1,20111
新前橋駅西口線_B,土日祝,土日祝_09時40分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
高崎　女子大線_A,土日祝,土日祝_09時45分_系統121,県立女子大学（上滝・玉村 経由）,,,0,121
スマーク線_A,土日祝,土日祝_09時50分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
高崎市循環バス　ぐるりん　群馬の森線_B,土日祝,土日祝_09時50分_系統20212,高崎駅東口（中居団地・群馬の森コース下り 経由）,,,0,20212
高崎市循環バス　ぐるりん　京ヶ島線_B,土日祝,土日祝_09時55分_系統20112,高崎駅東口（上大類・ 京目コース下り 経由）,,,0,20112
スマーク線_A,土日祝,土日祝_10時10分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
前橋高崎線_A,土日祝,土日祝_10時18分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
